month	active_editors	anonymous_edits	global_south_active_editors	global_south_edits	global_south_new_editor_retention	global_south_nonbot_edits	mobile-heavy_wiki_active_editors	mobile-heavy_wiki_edits	mobile-heavy_wiki_new_editor_retention	mobile-heavy_wiki_nonbot_edits	mobile_edits	net_new_Commons_content_pages	net_new_Wikidata_entities	net_new_Wikipedia_articles	net_new_content_pages	new_active_editors	new_editor_retention	non_anonymous_edits	other_nonbot_edits	returning_active_editors	revert_rate	total_edits	uploads	wikidata_edits
5/1/03	1135						2	201		201	0	0	0	17879	19567	430	0.247191011		169741	705	0.080557606	227962	17	0
6/1/03	1265						3	135	0	135	0	0	0	16173	17132	415	0.250403877		172695	850	0.084700818	244452	68	0
7/1/03	1507						3	317	0	317	0	0	0	20806	22736	586	0.233274648		194368	921	0.076439939	287319	203	0
8/1/03	1799						4	291	0	291	0	0	0	22032	23400	702	0.219337511		247253	1097	0.083584911	333485	342	0
9/1/03	1828						2	423	0.444444444	423	0	0	0	24300	29409	647	0.214242968		227643	1181	0.087987383	324887	155	0
10/1/03	2006						4	355	0.333333333	355	0	0	0	26658	36074	695	0.205016884		245928	1311	0.094043864	353817	93	0
11/1/03	2400						6	1128	0.25	1128	0	0	0	33654	44166	888	0.2		360636	1512	0.086083603	508338	167	0
12/1/03	2687						8	1603	0.5	1603	0	0	0	36073	37905	874	0.217219198		401820	1813	0.082025067	602523	211	0
1/1/04	3037						12	1687	0.333333333	1551	0	0	0	42724	45097	1066	0.230337079		403928	1971	0.085118238	610759	266	0
2/1/04	4216						29	4856	0.157894737	4583	0	0	0	53570	55988	1794	0.259860789		569593	2422	0.086925352	804607	581	0
3/1/04	6651						39	7773	0.35483871	7772	0	0	0	75079	78321	3227	0.2444235		851033	3424	0.093817908	1227532	504	0
4/1/04	6170						40	6913	0.354166667	6903	0	1	0	60891	69408	2123	0.260924106		782539	4047	0.084024629	1114767	624	0
5/1/04	6667						39	5605	0.21875	5581	0	0	0	63232	69741	2200	0.22045977		798147	4467	0.079629895	1263867	789	0
6/1/04	7123						45	4420	0.136363636	4420	0	1	0	61358	66234	2225	0.219655797		1034837	4898	0.076306711	1830911	878	0
7/1/04	8284						50	7362	0.159090909	6820	0	0	0	79699	95070	2755	0.226590106		1108129	5529	0.081718981	1667625	1113	0
8/1/04	8527						48	9031	0.150943396	8642	0	1	0	74072	82949	2610	0.201910321		1222028	5917	0.084450383	1858664	2027	0
9/1/04	9763						67	6259	0.166666667	4703	0	1109	0	88062	101535	3067	0.239002212		1347339	6696	0.094535489	2089053	2867	0
10/1/04	10928						73	8395	0.215686275	6851	0	6859	0	83754	107034	3468	0.227300727		1392851	7460	0.099495494	2139585	7762	0
11/1/04	12495						81	12529	0.15	12241	0	5785	0	94551	124095	4099	0.229035433		1649409	8396	0.114036083	2625374	7182	0
12/1/04	13166						96	14299	0.157480315	12774	0	8523	0	88144	116420	3886	0.215681144		1643611	9280	0.112857622	3123644	9544	0
1/1/05	13650						94	15676	0.120967742	15565	0	9768	0	88202	119814	4101	0.207915759		1613672	9549	0.112800362	2554469	11360	0
2/1/05	13707						113	12674	0.210084034	10378	0	10187	0	83765	116336	3835	0.197927987		1604260	9872	0.113699051	2477409	11457	0
3/1/05	16029						146	21479	0.135338346	21092	0	14842	0	101032	140669	4825	0.197573889		1983055	11204	0.114603397	3092638	16872	0
4/1/05	19128						139	27333	0.20754717	26167	0	18108	0	113300	182898	5917	0.200999445		2360760	13211	0.131907199	4100410	19712	0
5/1/05	20746						165	30180	0.185430464	27285	0	31791	0	133908	197308	6182	0.211479841		2561171	14564	0.12884383	4732180	33605	0
6/1/05	22604						180	36503	0.14516129	31083	0	21331	0	133598	193493	6821	0.193054278		2787308	15783	0.127840607	5225389	23874	0
6/1/05	22604						180	36503	0.14516129	31083	0	21331	0	133598	193493	6821	0.195238941		2787308	15783	0.127840607	5225389	23874	0
7/1/05	26459						213	49577	0.174311927	36937	0	22934	0	149616	211952	8597	0.198722734		3266706	17862	0.129632475	5468664	26502	0
8/1/05	29788						221	48224	0.178403756	38921	0	33556	0	174909	259707	9793	0.198722734		3544202	19995	0.13399928	6031331	32618	0
9/1/05	27224						237	47971	0.231046931	36740	0	31323	0	218718	286228	7275	0.195332931		3143509	19949	0.146343055	5572146	34954	0
10/1/05	30855						246	54891	0.155963303	43603	0	34415	0	175738	254675	9169	0.168999649		3621895	21686	0.16468659	6251872	38934	0
11/1/05	31259						238	55753	0.14159292	43173	0	24475	0	160053	226175	9199	0.169593779		3599012	22060	0.184159398	6543618	28942	0
12/1/05	43417						324	84815	0.136904762	68349	0	31590	0	189857	329486	16359	0.163712115		4970521	27058	0.178410813	8473673	37423	0
1/1/06	51229						399	105188	0.18018018	78927	0	38791	0	270476	404200	18505	0.171624408		5795259	32724	0.175175061	9769608	46747	0
2/1/06	52551						399	81229	0.118181818	62575	0	39769	0	191659	321850	17752	0.175743491		5471437	34799	0.17740572	9338205	49006	0
3/1/06	60892						458	115727	0.132867133	78704	0	45577	0	220856	336793	21154	0.155154438		6224352	39738	0.180984949	10918394	55849	0
4/1/06	63002						505	105543	0.101139601	77016	0	49793	0	210088	335671	20846	0.142437386		6153422	42156	0.181121611	10852241	60772	0
5/1/06	70616						582	110297	0.082191781	87918	0	52689	0	222199	405757	23567	0.13188691		6986313	47049	0.193455201	11924820	63469	0
6/1/06	71584						619	126806	0.100083403	95210	0	54939	0	228820	400864	22393	0.123599388		7051309	49191	0.180380417	12246393	66079	0
7/1/06	75592						658	154103	0.08030303	102856	0	62637	0	233722	435260	23977	0.113174388		7262161	51615	0.171150635	12864473	74019	0
8/1/06	83436						729	187448	0.092354277	118470	0	82646	0	280102	456497	26845	0.120889644		8102867	56591	0.166855576	14182340	97493	0
9/1/06	82210						749	147244	0.087457627	102766	0	67812	0	244343	562360	24710	0.123055801		7520639	57500	0.189788398	13423304	83255	0
10/1/06	86090						811	213441	0.096993761	113045	0	62834	0	229498	505171	26278	0.114545588		7841946	59812	0.211938808	14681338	76532	0
11/1/06	91788						840	210535	0.088268793	125380	0	59457	0	242340	426598	28713	0.112311087		8176435	63075	0.219170379	15124805	72481	0
12/1/06	92975						915	215572	0.094460641	129794	0	54082	0	270171	432627	27282	0.103325002		8274318	65693	0.203821297	15006433	68113	0
1/1/07	102987						889	260005	0.078651685	130563	0	68629	0	280007	504075	31701	0.095794912		9010426	71286	0.209215618	16870873	86630	0
2/1/07	101218						971	232701	0.069791136	135041	0	65811	0	262757	486325	30477	0.10371768		8670053	70741	0.222119473	15809671	81559	0
3/1/07	107709						1099	314365	0.092217484	173708	0	98651	0	276969	493175	32540	0.101991945		9644347	75169	0.226308495	18229356	115454	0
4/1/07	105930						1090	376014	0.085453673	168111	0	115906	0	256909	473710	30803	0.095569274		9338452	75127	0.224015137	17790576	133908	0
5/1/07	106281						1184	342326	0.078371278	177373	0	95470	0	245149	455565	30616	0.090980008		9735663	75665	0.225076755	18561686	114053	0
6/1/07	97285						1080	285363	0.091616249	166143	0	93895	0	277185	547297	26074	0.083821817		9002115	71211	0.200458175	16304557	110772	0
7/1/07	97707						1093	257283	0.08634976	160035	0	112988	0	265800	547375	26615	0.079726987		9144897	71092	0.185490163	16167608	132393	0
8/1/07	96885						1123	291205	0.089688249	162228	0	120602	0	301676	579722	25838	0.08129734		8999431	71047	0.192001764	16261152	139460	0
9/1/07	95949						1183	304932	0.076555024	165804	0	128393	0	318199	604820	26097	0.085025052		8829529	69852	0.220494946	17138544	146662	0
10/1/07	99502						1280	342420	0.086995922	175425	0	111652	0	267391	523357	27829	0.085390044		9226372	71673	0.231274333	18111693	131545	0
11/1/07	94364						1184	319130	0.07151231	164445	0	118261	0	213642	527330	25155	0.080174632		8742107	69209	0.2256579	17398830	136830	0
12/1/07	90878						1194	378955	0.078691079	187637	0	95885	0	232320	498736	22981	0.074248533		8664029	67897	0.209236985	16740268	113499	0
1/1/08	100037						1412	374186	0.078378378	196231	0	113170	0	253367	523518	27896	0.070793327		9861171	72141	0.212933099	18010365	132427	0
2/1/08	98912						1323	370787	0.08459596	181432	0	99121	0	241503	544202	27146	0.078738284		9431610	71766	0.222775373	17876488	116910	0
3/1/08	103287						1340	358120	0.079010649	186224	0	111723	0	246039	636002	28363	0.082049804		9897350	74924	0.223620499	18892515	131572	0
4/1/08	100451						1338	338160	0.066788321	178047	0	100691	0	227002	455641	27255	0.076657407		9421593	73196	0.228991491	17792992	117785	0
5/1/08	100596						1413	385744	0.075573066	183646	0	114305	0	228449	497219	26486	0.077884947		9607444	74110	0.230439421	18807460	131879	0
6/1/08	93561						1376	434457	0.070124178	201463	0	96867	0	231094	520682	23375	0.073028066		9170317	70186	0.205769095	17762044	114214	0
7/1/08	94593						1454	436630	0.064137661	215449	0	113954	0	230882	659169	23856	0.071264288		9450134	70737	0.188117285	17394579	130964	0
8/1/08	93541						1488	452409	0.069237511	221300	0	114885	0	258367	563015	23135	0.069081027		9510838	70406	0.189628988	17790276	131043	0
9/1/08	91591						1480	352526	0.078422685	200063	0	131451	0	199698	530560	23221	0.073595151		9311258	68370	0.219308019	17676796	147782	0
10/1/08	95114						1619	459799	0.079298831	215420	0	110326	0	220592	694838	25501	0.070166855		9534207	69613	0.224476344	18467644	130572	0
11/1/08	92143						1515	433670	0.068815331	196626	0	116076	0	209380	588860	23368	0.069609889		9006944	68775	0.217737092	17308381	131074	0
12/1/08	90346						1527	361127	0.080303636	201614	0	191979	0	209401	565175	22238	0.072405746		9129527	68108	0.195989082	17404424	215137	0
1/1/09	97620						1603	461698	0.072457627	220704	0	122454	0	232240	493658	25275	0.062247807		9822584	72345	0.204583107	19785660	138515	0
2/1/09	92975						1577	415915	0.067879326	213611	0	124252	0	220596	537769	23430	0.068427505		9131378	69545	0.214600917	17716440	138725	0
3/1/09	97999						1699	483701	0.067887931	233587	0	210226	0	230416	670695	25213	0.072260226		10167816	72786	0.21538369	19904069	227220	0
4/1/09	92472						1716	487026	0.061815336	239227	0	178278	0	223853	724723	22564	0.066831605		9394893	69908	0.197815574	18141412	195132	0
5/1/09	95205						1851	587301	0.064730581	263405	0	136574	0	219699	641899	23505	0.066494203		9839856	71700	0.194969347	19741143	153478	0
6/1/09	93966						1664	576211	0.056395135	246681	0	151085	0	200466	665038	23117	0.067049279		9372719	70849	0.187515076	18457575	168132	0
7/1/09	93593						1829	671081	0.058705133	259707	0	156896	0	222629	529932	23331	0.062169354		9244137	70262	0.177544799	19473262	174547	0
8/1/09	92905						1939	629984	0.054242003	254546	0	158596	0	236027	576590	22067	0.064105558		9520318	70838	0.175397397	20237075	178348	0
9/1/09	90223						1917	534984	0.058005327	270583	0	124999	0	212981	505672	21456	0.068460069		9212000	68767	0.197251066	18807269	142482	0
10/1/09	92945						1971	553570	0.068422559	260200	0	262844	0	229307	766473	23195	0.067188262		9576122	69750	0.205110246	19525635	281654	0
11/1/09	92380						1777	475521	0.05901937	232769	0	169184	0	208757	655375	22614	0.069468793		9357697	69766	0.201995736	18415440	186414	0
12/1/09	89989						1958	579591	0.053400787	245895	0	133393	0	224894	636511	21009	0.064626276		9231414	68980	0.191128039	18731437	152965	0
1/1/10	96335						1958	602312	0.072194199	247352	0	349296	0	228134	731299	23950	0.057646722		10072736	72385	0.195176647	20186791	367435	0
2/1/10	91147						1861	698583	0.05625966	251869	0	147064	0	202201	545966	22082	0.061398532		9257825	69065	0.206219082	19275819	164327	0
3/1/10	96213						2103	562210	0.054015837	241702	0	164996	0	228505	725886	24371	0.064369955		10114674	71842	0.210426738	20546561	182659	0
4/1/10	92268						2081	671863	0.056850846	255386	0	196401	0	251950	716540	22009	0.059685147		9610770	70259	0.205157839	20278495	213338	0
5/1/10	93672						2101	594513	0.061006466	273964	0	188707	0	254567	602736	22225	0.059812538		9972780	71447	0.19841998	20190189	206680	0
6/1/10	87549						2031	659188	0.055235903	272152	0	156927	0	212325	532304	19731	0.059369355		9304794	67818	0.191768559	18846506	174148	0
7/1/10	85075						2063	572108	0.047929665	256005	0	188569	0	217680	672683	18860	0.055264727		9308838	66215	0.178185155	18133108	205417	0
8/1/10	86500						2145	664343	0.054512417	293747	0	188485	0	285641	776858	19413	0.056499359		9832905	67087	0.17833615	20320220	207446	0
9/1/10	83726						2130	709343	0.059920514	286990	0	189492	0	221741	720559	18563	0.059959073		9618062	65163	0.190435925	19875863	210222	0
10/1/10	85346						2069	589853	0.059409227	259390	0	183201	0	234926	1012727	19547	0.060815237		9644656	65799	0.201656317	20370682	201361	0
11/1/10	84994						2003	552418	0.066689823	262040	0	150804	0	240666	1226279	19775	0.068897997		9187239	65219	0.20076372	19503687	167782	0
12/1/10	83648						2086	673227	0.052496329	261034	0	219984	0	261160	777816	18691	0.059472502		9160787	64957	0.192086915	19051007	238794	0
1/1/11	93338						2207	701075	0.05713422	274184	0	217786	0	269089	833470	22897	0.054286684		10424880	70441	0.184911049	21366925	238358	0
2/1/11	88347						2203	652112	0.044863625	258745	0	1151532	0	225297	1741725	20859	0.062025908		9359215	67488	0.182901886	20097225	1170363	0
3/1/11	91531						2381	717868	0.047273578	299779	0	508436	0	234849	1025160	22302	0.067462974		9673904	69229	0.184196396	21611325	528846	0
4/1/11	87442						2136	779263	0.054677207	272920	0	182092	0	269108	744070	20295	0.059228816		9075369	67147	0.178412149	19160497	201869	0
5/1/11	88234						2199	743044	0.051698395	275075	0	171721	0	240639	679184	20397	0.061199736		9256240	67837	0.18753145	18418102	192145	0
6/1/11	86422						2282	858191	0.05049505	316064	0	187386	0	272086	729004	19955	0.059485323		9325154	66467	0.182766378	18928424	207241	0
7/1/11	85793						2336	1018243	0.045987376	298743	0	184061	0	318789	888573	19260	0.05483064		9598382	66533	0.157352698	19276482	205402	0
8/1/11	86264						2365	889619	0.045728643	305071	0	211461	0	221663	833427	19058	0.054951758		9794504	67206	0.165281362	20028373	236610	0
9/1/11	86279						2445	816217	0.046049321	300689	0	393411	0	199457	816885	20537	0.056799916		9586194	65742	0.169181367	19414053	414424	0
10/1/11	85302						2450	711641	0.048577036	299456	0	246487	0	356306	926629	19367	0.05858591		9596929	65935	0.188627019	19724463	267649	0
11/1/11	84850						2421	741396	0.043401414	290733	0	206477	0	258454	790370	19396	0.063690739		9523197	65454	0.180898446	19837295	226467	0
12/1/11	84058						2567	840542	0.049421858	319937	0	193454	0	446675	1139139	18278	0.059236586		9714461	65780	0.188949373	21881926	211919	0
1/1/12	89072						2785	700670	0.047815821	329767	0	211205	0	254930	950324	20913	0.050902602		10544932	68159	0.171250076	21573819	232154	0
2/1/12	85788						2507	567269	0.050214928	278404	0	164765	0	210286	797799	19708	0.055500377		9864256	66080	0.171859609	20038131	183849	0
3/1/12	85887						2561	703684	0.043630339	292644	0	219823	0	275806	801407	19361	0.061802985		10363589	66526	0.166155091	19970035	242171	0
4/1/12	84282						2634	715257	0.043217287	277095	0	196776	0	218420	574219	18135	0.060406022		10106918	66147	0.164582485	20085596	216528	0
5/1/12	86367						2758	1033967	0.055146398	293188	0	236117	0	239955	643543	18462	0.069448838		10331032	67905	0.17329781	21461243	258003	0
6/1/12	83241						2763	852385	0.059596344	312500	0	224818	0	221239	731964	17632	0.066007488		9863021	65609	0.165189629	19254872	245173	0
7/1/12	84830						2734	1015808	0.060479042	316826	0	226426	0	310462	841903	18112	0.062865764		10270746	66718	0.157088221	21362405	253028	0
8/1/12	83376						2746	892447	0.051045016	316233	0	232557	0	288098	804049	17108	0.065498506		10540497	66268	0.159472724	22952819	255138	0
9/1/12	86203						2616	837401	0.051567657	290792	0	628614	0	298171	1348861	21428	0.06992113		10043804	64775	0.162477656	22759613	651613	0
10/1/12	83867						2588	971631	0.058704862	267548	1	461836	4393	374012	1243412	17887	0.069960305		10365802	65980	0.166146846	24243577	484643	265341
11/1/12	83554						2603	635341	0.053231106	271101	122	262107	209173	244006	1110288	17670	0.071323449		10016479	65884	0.165892183	20696743	283910	418686
12/1/12	82175						2882	844143	0.061685668	323440	182	364918	1801148	255857	2618864	16283	0.072406418		10350983	65892	0.154165812	23208682	389763	2145677
1/1/13	88840						2852	1113427	0.051865519	348074	1199	660978	1577241	499974	3047647	19323	0.062529482		11465722	69517	0.166166448	27075327	695025	2527688
2/1/13	81814						2598	1054798	0.061011905	332681	1986	329243	1453555	622157	2605207	16821	0.068621103		10004879	64993	0.18081122	25601769	353137	2688064
3/1/13	86136						2672	1807620	0.05299395	372472	4316	265200	3061030	793553	4293422	18416	0.072057478		10528530	67720	0.154783946	46222566	294994	9090203
4/1/13	86445						2734	904784	0.053272101	328256	2885	258997	2426356	463071	3382540	19096	0.068828283		10175849	67349	0.157684189	37029963	290295	14587309
5/1/13	87035						2648	528565	0.064039409	310381	6218	355878	866316	225572	1706282	19458	0.067349765		10277276	67577	0.159838612	33092100	390256	15342104
6/1/13	80847						2510	431654	0.046175467	278296	738	341421	144306	742778	1506070	16662	0.057402956		9748124	64185	0.147325426	22995684	361343	4703310
7/1/13	80583						2647	563886	0.047954245	324566	8519	334335	772673	662382	1971738	17398	0.052887797		9752428	63185	0.13401014	27914054	355640	9091134
8/1/13	79890						2595	567259	0.038932949	307449	43388	312908	339195	925873	2071813	17157	0.053441507		10102879	62733	0.128337213	24395083	336208	4886515
9/1/13	80047						2504	625235	0.045818505	316320	51687	643244	234500	742838	1953990	19756	0.056299496		10023703	60291	0.122058314	25508808	668639	5912918
10/1/13	79346						2593	793571	0.044382504	306239	57535	319361	82205	336599	1075449	18219	0.055349295		10100277	61127	0.141731328	26604365	344060	9020041
11/1/13	78105						2636	626954	0.040808319	314171	57294	403734	113422	187935	1130427	17684	0.059213746		9767696	60421	0.134522498	24479367	429904	7699074
12/1/13	78600						2762	617792	0.043430456	334092	67745	269642	204408	217391	1023946	17533	0.058238881		10543691	61067	0.129729705	24043955	293538	6494305
1/1/14	84869						3242	654432	0.049141703	372149	84514	261039	178415	206087	871504	20294	0.052587957		11076111	64575	0.134872153	30112968	286831	9215446
2/1/14	78632						2847	533914	0.042990967	333436	76626	270805	123482	240517	976048	17726	0.054036282		9829508	60906	0.135777299	24149407	297224	5924262
3/1/14	82101						2747	649560	0.042892924	380647	89413	320652	117770	227143	2066429	19071	0.061723056		10487261	63030	0.13889735	26072606	350238	5572211
4/1/14	79916						2827	671697	0.039447373	349087	89198	336856	576587	238222	1449478	18562	0.055417322		10190711	61354	0.125519362	23339672	363167	5447664
5/1/14	85053						2956	596971	0.051770207	341209	112289	391903	249039	259759	1120589	21768	0.054523646		10111642	63285	0.124457883	28712331	421870	11193929
6/1/14	78884						2717	525890	0.042241379	321979	148578	312056	207192	552877	1338093	18721	0.053767413		9786597	60163	0.11598804	25238648	382911	6054010
7/1/14	80851						2817	586054	0.035774839	319836	229722	490591	127492	459956	1442994	19723	0.047381546		10242111	61128	0.10398689	26865252	534518	6673575
8/1/14	80971						3022	617771	0.047122441	339322	261600	447860	250433	394096	1252287	19417	0.052819908		10436673	61554	0.109857855	25791366	500125	5898183
9/1/14	79806						2715	673780	0.043018728	313169	207046	545761	307597	405863	1517651	20140	0.054724937		9604610	59666	0.123227019	23705324	571578	5972107
10/1/14	81267						2809	593484	0.043381887	338492	218966	487400	181748	304117	1227019	20686	0.053687166		10011499	60581	0.117196975	27358814	510641	8692892
11/1/14	79525						2682	521713	0.044720727	295973	230290	328428	161836	224915	1012854	19491	0.060041641		9580561	60034	0.124491739	27270646	356131	8407359
12/1/14	80052						3036	994252	0.040971419	329970	276869	323636	90991	202239	818821	18773	0.055660424		10069298	61279	0.118833483	28006243	354130	6754131
1/1/15	86213						3355	725482	0.044250646	388904	331830	302466	190440	218135	1028766	21566	0.049552471		11332639	64647	0.117540456	26632995	332411	7256327
2/1/15	82248						3169	806160	0.04811364	383425	312625	310898	415684	179702	1113156	20037	0.054121512		10188320	62211	0.117374365	24369872	335611	7398594
3/1/15	88371						3305	1048446	0.056929606	357379	327864	385789	303890	314314	1162672	22393	0.060257541		11568886	65978	0.130358702	32009429	419385	7912594
4/1/15	82830						3148	1221711	0.048236666	335831	450604	358830	97218	201926	820398	19265	0.052999886		11244098	63565	0.118861017	33853516	385390	5342196
5/1/15	86943						2994	578832	0.04618271	311960	505771	501268	150103	194907	1160027	22386	0.054422708		10455256	64557	0.127628343	27730905	528925	7142529
6/1/15	82174						2994	489454	0.043575064	335595	553031	412650	549107	233073	1379455	19672	0.053983564		10161123	62502	0.137897442	24126596	441920	4571308
7/1/15	80531						3149	776159	0.045912061	384754	633506	485869	91070	219056	1064754	18309	0.049419314		10718971	62222	0.139829779	35088022	515028	12495044
8/1/15	79236						3070	991440	0.051765928	428380	657796	571013	110590	231499	1146080	16979	0.053697891		11356093	62257	0.122070541	28653390	617032	8635024
9/1/15	79690						2943	945176	0.051646946	366201	613093	823670	111911	239586	1681911	17889	0.05630588		11505086	61801	0.152872557	29257341	855173	7295135
10/1/15	80393						2942	482378	0.039653449	331013	585356	549401	225895	252621	1265717	17655	0.065430338		11775781	62738	0.12623474	33689794	584951	12186660
11/1/15	81185						2892	661563	0.04107368	378051	612597	419041	277703	560352	1451929	18060	0.06566606		11505534	63125	0.118531434	31774470	449133	11026538
12/1/15	79420						3090	564181	0.04192625	366664	614775	415941	273478	690375	1600579	16963	0.059487894		11104438	62457	0.107893219	29677757	444346	9439281
1/1/16	85740						3248	867270	0.0370817	408710	727213	444628	396491	848476	2041690	19450	0.04959065		12157334	66290	0.102108717	33318202	473580	10703508
2/1/16	81486						3022	1262126	0.044049855	345267	658698	333242	573530	332337	1860399	18299	0.052898414		14025302	63187	0.089220727	33314058	358458	9978377
3/1/16	85254						3179	1015216	0.043271595	394471	695658	444262	673701	293685	2322306	19400	0.062740282		12187117	65854	0.101141076	30792307	478126	8945545
4/1/16	82268						3102	681064	0.042063753	370902	660965	378707	247102	364754	1513335	17819	0.06078845		12728550	64449	0.101347051	32047817	406320	10220255
5/1/16	86163						3098	975072	0.048321048	384800	670684	490452	272508	589558	1832548	20062	0.060348166		12914809	66101	0.102098265	36970492	514595	13901664
6/1/16	83379						3390	870534	0.03712036	401455	659680	469134	843993	490724	2042301	20311	0.053591538		11942529	63068	0.093380738	31114661	490112	10424038
7/1/16	78211						3333	890566	0.044542254	403936	730018	423845	898143	249806	1876926	16042	0.048028453		14751835	62169	0.118445612	31282082	450892	8115824
8/1/16	78557						3201	771445	0.041045327	424838	768062	411140	486437	336099	1505517	16239	0.047189226		13950966	62318	0.088656371	32033143	437921	10632513
9/1/16	80922						2893	649165	0.041486068	396100	696802	734203	251176	546749	1817034	19031	0.052583245		13361030	61891	0.085843078	34973527	762830	10784874
10/1/16	79255						2933	715488	0.050792569	404445	765096	517717	429577	436985	1732793	16991	0.062101859		11114934	62264	0.104438664	36302062	548103	16119568
11/1/16	79771						3057	578978	0.048076923	384150	770949	772055	245128	533010	1797536	16963	0.065659451		11423412	62808	0.104741368	43287142	798402	13334682
12/1/16	80852						3275	627273	0.054618821	386590	810648	770586	144755	430578	1555799	16513	0.070944569		11109079	64339	0.094771359	29571992	802367	10195450
1/1/17	85452						3300	894436	0.045183291	454376	900732	793270	436983	412831	1899491	18368	0.051107806		12042844	67084	0.105870827	38001265	832992	17069546
2/1/17	80461						3347	1093680	0.040924276	418319	813061	793644	206788	387343	1627275	16642	0.053877001		11105361	63819	0.114371108	38057326	843774	17940961
3/1/17	87366						3449	969064	0.047269449	431418	929213	674367	183115	308826	1386866	19565	0.07122725		11894294	67801	0.113530761	33612901	710482	12928116
4/1/17	82594						3383	911166	0.042732979	415346	851164	595207	537677	382293	1724616	16839	0.060160942		11099327	65755	0.1113935	31602306	624298	8723317
5/1/17	85949						3421	729458	0.046425588	390945	854016	833390	406552	424211	1977121	19482	0.060064187		11024825	66467	0.107609136	41867781	862373	12451250
6/1/17	81598						3589	738181	0.043230115	419822	855413	868011	1049593	433003	2736800	18713	0.054191518		10972893	62885	0.098326223	38336583	898029	17156953
7/1/17	80095						4107	944735	0.061430277	455920	934109	668452	2655035	329845	4035895	16304	0.049983842		11234467	63791	0.091338542	39740681	702732	19022591
8/1/17	79296						3458	1039919	0.052176264	436618	1007777	456573	3874032	406120	5097291	15372	0.050047583		11205655	63924	0.099400929	44526564	488750	19872017
9/1/17	79624						3234	1242240	0.049343364	409461	923963	719268	3143746	392927	4448320	16857	0.053856432		10554861	62767	0.101784992	41774909	758462	20179635
10/1/17	81021						3381	1045401	0.042514106	408665	999360	571720	941342	185950	1886914	16400	0.058635496		11736089	64621	0.103106784	40886220	611227	16790134
